instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
large,512,cuda_optimized,51,0.193522,Yes,83944,434.028,83192.1,1.53555,17.4314,5.07812,0.111916,0.193522,0.0816
large,1024,sequential,42,0.20864,Yes,295440,0.0704769,0.20864,0.1382
large,1024,sequential,43,0.208652,Yes,294925,0.0689471,0.208652,0.1397
large,1024,sequential,44,0.206988,Yes,237146,0.0733221,0.206988,0.1337
large,1024,sequential,45,0.207312,Yes,286995,0.0724452,0.207312,0.1349
large,1024,sequential,46,0.20732,Yes,249252,0.0752158,0.20732,0.1321
large,1024,sequential,47,0.206935,Yes,234010,0.0713806,0.206935,0.1356
large,1024,sequential,48,0.20835,Yes,295251,0.0693596,0.20835,0.139
large,1024,sequential,49,0.207259,Yes,229755,0.0748758,0.207259,0.1324
large,1024,sequential,50,0.206347,Yes,198820,0.0703692,0.206347,0.136
large,1024,sequential,51,0.207318,Yes,234148,0.0739229,0.207318,0.1334
large,1024,cuda_basic,42,0.195531,Yes,72893,437.934,71988.9,2.16624,19.4006,5.66406,0.112074,0.195531,0.0835
large,1024,cuda_basic,43,0.195831,Yes,58607,354.948,57829.9,2.17347,15.0006,5.46875,0.112587,0.195831,0.0832
large,1024,cuda_basic,44,0.194029,Yes,73429,440.324,72521.7,2.204,18.7493,5.46875,0.112232,0.194029,0.0818
large,1024,cuda_basic,45,0.196264,Yes,73484,441.406,72581.4,2.21997,18.8186,6.15234,0.113641,0.196264,0.0826
large,1024,cuda_basic,46,0.194964,Yes,73138,438.128,72231.2,2.49027,18.9974,5.07812,0.111527,0.194964,0.0834
large,1024,cuda_basic,47,0.19451,Yes,54244,329.323,53498,2.19821,13.8097,5.17578,0.112586,0.19451,0.0819
large,1024,cuda_basic,48,0.194821,Yes,73323,440.699,72413.6,2.23152,18.3928,6.25,0.113363,0.194821,0.0815
large,1024,cuda_basic,49,0.196013,Yes,73574,441.394,72669.4,2.19226,18.8893,5.27344,0.113124,0.196013,0.0829
large,1024,cuda_basic,50,0.195725,Yes,72908,438.384,71976.4,2.29331,19.9457,5.76172,0.113446,0.195725,0.0823
large,1024,cuda_basic,51,0.19496,Yes,73466,439.218,72490.3,2.36608,20.143,5.66406,0.112353,0.19496,0.0826
large,1024,cuda_optimized,42,0.195531,Yes,109143,444.181,108241,2.19907,19.7107,5.66406,0.112074,0.195531,0.0835
large,1024,cuda_optimized,43,0.195831,Yes,86566,358.026,85755.4,2.2079,16.099,5.46875,0.112587,0.195831,0.0832
large,1024,cuda_optimized,44,0.194029,Yes,108526,442.851,107604,2.18333,19.3332,5.46875,0.112232,0.194029,0.0818
large,1024,cuda_optimized,45,0.196264,Yes,108655,443.444,107757,2.18426,19.6994,6.15234,0.113641,0.196264,0.0826
large,1024,cuda_optimized,46,0.194964,Yes,110520,447.377,109611,2.33674,19.3895,5.07812,0.111527,0.194964,0.0834
large,1024,cuda_optimized,47,0.19451,Yes,80275,331.531,79542.3,2.1303,12.9243,5.17578,0.112586,0.19451,0.0819
large,1024,cuda_optimized,48,0.194821,Yes,108273,442.025,107352,2.16486,17.9646,6.25,0.113363,0.194821,0.0815
